"Pick","Team","Player","College","Season"
"26","DAL","Steve Alford","Indiana University",1987
"27","SAS","Nate Blackwell","Temple University",1987
"28","CHI","Rickie Winslow","University of Houston",1987
"29","POR","Lester Fonville","Jackson State University",1987
"30","POR","Nikita Wilson","Louisiana State University",1987
"31","DEN","Andre Moore","Loyola University of Chicago",1987
"32","MIL","Bob McCann","Morehead State University",1987
"33","CHI","Tony White","University of Tennessee",1987
"34","IND","Brian Rowsom","University of North Carolina at Wilmington",1987
"35","HOU","Doug Lee","Purdue University",1987
"36","WSB","Duane Washington","Middle Tennessee State University",1987
"37","WSB","Derrick Dowell","University of Southern California",1987
"38","LAC","Norris Coleman","Kansas State University",1987
"39","PHI","Vincent Askew","University of Memphis",1987
"40","MIL","Winston Garland","Missouri State University",1987
"41","CLE","Kannard Johnson","Western Kentucky University",1987
"42","ATL","Terence Bailey","Wagner College",1987
"43","PHI","Andrew Kennedy","University of Virginia",1987
"44","ATL","Terry Coner","University of Alabama",1987
"45","BOS","Brad Lohaus","University of Iowa",1987
"46","PHO","Bruce Dalrymple","Georgia Institute of Technology",1987
"47","LAC","Tim McCalister","University of Oklahoma",1987
"48","NJN","Jamie Waller","Virginia Union University",1987
"49","NYK","Jerome Batiste","McNeese State University",1987
"50","SAS","Phil Zevenbergen","University of Washington",1987
"51","SAC","Sven Myer","University of Oregon",1987
"52","CLE","Donald Royal","University of Notre Dame",1987
"53","PHO","Winston Crite","Texas A&M University",1987
"54","DEN","Tom Schafer","Iowa State University",1987
"55","SEA","Tommy Amaker","Duke University",1987
"56","CHI","John Fox","Millersville University of Pennsylvania",1987
"57","PHI","Hansi Gnad","University of Alaska Anchorage",1987
"58","GSW","Darryl Johnson","Michigan State University",1987
"59","WSB","Danny Pearson","Jacksonville University",1987
"60","IND","Sean Couch","Columbia University",1987
"61","UTA","Clarence Martin","Western Kentucky University",1987
"62","PHI","Eric Riggins","Rutgers University",1987
"63","POR","Kevin Gamble","University of Iowa",1987
"64","MIL","J. J. Weber","University of Wisconsin",1987
"65","DET","Eric White","Pepperdine University",1987
"66","DAL","Mike Richmond","University of Texas at El Paso",1987
"67","ATL","Song Tao","",1987
"68","UTA","Billy Donovan","Providence College",1987
"69","LAL","Willie Glass","St. John's University",1987
"70","BOS","Tom Sheehey","University of Virginia",1987
"71","NYK","Mike Morgan","Drake University",1987
"72","NJN","Andrew Moten","University of Florida",1987
"73","SAS","Todd May","Pikeville College",1987
"74","SAC","Joe Arlauckas","Niagara University",1987
"75","CLE","Chris Dudley","Yale University",1987
"76","PHO","Steve Beck","Arizona State University",1987
"77","DEN","David Boone","Marquette University",1987
"78","SEA","Todd Linder","University of Tampa",1987
"79","CHI","Jack Haley","University of California, Los Angeles",1987
"80","CLE","Carven Holcomb","Texas Christian University",1987
"81","WSB","Scott Thompson","University of San Diego",1987
"82","HOU","Joe Niego","Lewis University",1987
"83","GSW","Benny Bolton","North Carolina State University",1987
"84","UTA","Reuben Holmes","Alabama State University",1987
"85","PHI","Brian Rahilly","University of Tulsa",1987
"86","POR","Norwood Barber","Florida State University",1987
"87","MIL","Darryl Bedford","Austin Peay State University",1987
"88","DET","Dave Popson","University of North Carolina",1987
"89","DAL","David Johnson","University of Oklahoma",1987
"90","ATL","Theofanis Christodoulou","",1987
"91","BOS","Darryl Kennedy","University of Oklahoma",1987
"92","LAL","Ralph Tally","Norfolk State University",1987
"93","LAC","Chad Kessler","University of Georgia",1987
"94","NJN","James Blackmon","University of Kentucky",1987
"95","NYK","Glenn Clem","Vanderbilt University",1987
"96","SAS","Dennis Williams","University of Georgia",1987
"97","SAC","Vernon Carr","Michigan State University",1987
"98","CLE","Carl Lott","Texas Christian University",1987
"99","PHO","Brent Counts","University of the Pacific",1987
"100","DEN","Ron Grandison","University of New Orleans",1987
"101","SEA","Michael Tait","Clemson University",1987
"102","CHI","Anthony Wilson","Louisiana State University",1987
"103","IND","Mike Milling","University of North Carolina at Charlotte",1987
"104","HOU","Andre LaFleur","Northeastern University",1987
"105","GSW","Terry Williams","Southern Methodist University",1987
"106","WSB","Patrick Fairs","University of Texas at Austin",1987
"107","UTA","Bart Kofoed","University of Nebraska at Kearney",1987
"108","PHI","Frank Ross","American University",1987
"109","POR","David Moss","University of Tulsa",1987
"110","MIL","Brian Vaughns","University of California, Santa Barbara",1987
"111","DET","Gerry Wright","University of Iowa",1987
"112","DAL","Sam Hill","Iowa State University",1987
"113","ATL","Jose Antonio Montero","",1987
"114","BOS","Dave Butler","University of California",1987
"115","LAL","Kenny Travis","New Mexico State University",1987
"116","LAC","Martin Nessley","Duke University",1987
"117","NYK","Howard Triche","Syracuse University",1987
"118","NJN","Perry Bromwell","University of Pennsylvania",1987
"119","SAS","Ricky Brown","University of South Alabama",1987
"120","SAC","Darryl Thomas","Indiana University",1987
"121","CLE","Harold Jensen","Villanova University",1987
"122","PHO","Marcel Boyce","University of Akron",1987
"123","DEN","Kelvin Scarborough","University of New Mexico",1987
"124","SEA","Tom Gneiting","Brigham Young University",1987
"125","CHI","Doug Altenberger","University of Illinois at Urbana-Champaign",1987
"126","IND","Gary Graham","University of Nevada, Las Vegas",1987
"127","GSW","Sarunas Marciulionis","",1987
"128","WSB","Dwayne Scholten","Washington State University",1987
"129","HOU","Fred Jenkins","University of Tennessee",1987
"130","UTA","Art Sabb","Bloomfield College",1987
"131","PHI","Tracy Foster","University of Alabama at Birmingham",1987
"132","POR","Bernard Johnson","Loyola University of Chicago",1987
"133","MIL","Gay Elmore","Virginia Military Institute",1987
"134","DET","Antoine Joubert","University of Michigan",1987
"135","DAL","Quintan Gates","University of Texas at El Paso",1987
"136","ATL","Riccardo Morandotti","",1987
"137","BOS","Tim Naegeli","University of Wisconsin-Stevens Point",1987
"138","LAL","Frank Ford","Auburn University",1987
"139","LAC","Henry Carr","Wichita State University",1987
"140","NJN","Frank Booker","Bowling Green State University",1987
"141","NYK","Wayne Williams","Saint Joseph's University",1987
"142","SAS","Raynard Davis","University of Texas at Austin",1987
"143","SAC","Scott Adubato","Upsala College",1987
"144","CLE","Michael Foster","University of South Carolina",1987
"145","PHO","Roy Singleton","Grand Canyon University",1987
"146","DEN","Rowan Gomes","Hampton University",1987
"147","SEA","Mike Giomi","North Carolina State University",1987
"148","CHI","Earvin Leavy","Central Michigan University",1987
"149","IND","Montel Hatcher","University of California, Los Angeles",1987
"150","WSB","Jamie Dixon","Texas Christian University",1987
"151","HOU","Clarence Grier","Campbell University",1987
"152","GSW","Ronnie Leggette","West Virginia State University",1987
"153","UTA","Keith Webster","Harvard University",1987
"154","PHI","Eric Semisch","West Virginia University",1987
"155","POR","Kenny Stone","George Fox University",1987
"156","DEN","Curtis Hunter","University of North Carolina",1987
"157","DET","Mark Gottfried","University of Alabama",1987
"158","DAL","Gerald White","Auburn University",1987
"159","ATL","Franjo Arapovic","",1987
"160","BOS","Jerry Corcoran","Northeastern University",1987
"161","LAL","Ron Vanderschaaf","Central Washington University",1987
"1","LAC","Danny Manning","University of Kansas",1988
"2","IND","Rik Smits","Marist College",1988
"3","PHI","Charles Smith","University of Pittsburgh",1988
"4","NJN","Chris Morris","Auburn University",1988
"5","GSW","Mitch Richmond","Kansas State University",1988
"6","LAC","Hersey Hawkins","Bradley University",1988
"7","PHO","Tim Perry","Temple University",1988
"8","CHH","Rex Chapman","University of Kentucky",1988
"9","MIA","Rony Seikaly","Syracuse University",1988
"10","SAS","Willie Anderson","University of Georgia",1988
"11","CHI","Will Perdue","Vanderbilt University",1988
"12","WSB","Harvey Grant","University of Oklahoma",1988
"13","MIL","Jeff Grayer","Iowa State University",1988
"14","PHO","Dan Majerle","Central Michigan University",1988
"15","SEA","Gary Grant","University of Michigan",1988
"16","HOU","Derrick Chievous","University of Missouri",1988
"17","UTA","Eric Leckner","University of Wyoming",1988
"18","SAC","Ricky Berry","San Jose State University",1988
"19","NYK","Rod Strickland","DePaul University",1988
"20","MIA","Kevin Edwards","DePaul University",1988
"21","POR","Mark Bryant","Seton Hall University",1988
"22","CLE","Randolph Keys","University of Southern Mississippi",1988
"23","DEN","Jerome Lane","University of Pittsburgh",1988
"24","BOS","Brian Shaw","University of California, Santa Barbara",1988
"25","LAL","David Rivers","University of Notre Dame",1988
"26","POR","Rolando Ferreira","University of Houston",1988
"27","SAS","Shelton Jones","St. John's University",1988
"28","PHO","Andrew Lang","University of Arkansas",1988
"29","SAC","Vinny Del Negro","North Carolina State University",1988
"30","DET","Fennis Dembo","University of Wyoming",1988
"31","PHI","Everette Stephens","Purdue University",1988
"32","NJN","Charles Shackleford","North Carolina State University",1988
"33","MIA","Grant Long","Eastern Michigan University",1988
"34","CHH","Tom Tolbert","University of Arizona",1988
"35","MIA","Sylvester Gray","University of Memphis",1988
"36","WSB","Ledell Eackles","University of New Orleans",1988
"37","NYK","Greg Butler","Stanford University",1988
"38","PHO","Dean Garrett","Indiana University",1988
"39","MIL","Tito Horford","University of Miami",1988
"40","MIA","Orlando Graham","Auburn University at Montgomery",1988
"41","GSW","Keith Smart","Indiana University",1988
"42","UTA","Jeff Moe","University of Iowa",1988
"43","DEN","Todd Mitchell","Purdue University",1988
"44","ATL","Anthony Taylor","University of Oregon",1988
"45","LAC","Tom Garrick","University of Rhode Island",1988
"46","DAL","Morlon Wiley","California State University, Long Beach",1988
"47","DEN","Vernon Maxwell","University of Florida",1988
"48","DET","Micheal Williams","Baylor University",1988
"49","DAL","Jose Vargas","Louisiana State University",1988
"50","PHO","Steve Kerr","University of Arizona",1988
"51","LAC","Rob Lock","University of Kentucky",1988
"52","NJN","Derrick Hamilton","University of Southern Mississippi",1988
"53","POR","Anthony Mason","Tennessee State University",1988
"54","ATL","Jorge Gonzalez","",1988
"55","PHO","Rodney Johns","Grand Canyon University",1988
"56","SAS","Barry Sumpter","Austin Peay State University",1988
"57","PHI","Herman Montenegro","Louisiana State University",1988
"58","CHH","Jeff Moore","Auburn University",1988
"59","MIA","Nate Johnston","University of Tampa",1988
"60","WSB","Ed Davender","University of Kentucky",1988
"61","IND","Herbert Crook","University of Louisville",1988
"62","CHI","Derrick Lewis","University of Maryland",1988
"63","MIL","Mike Jones","Auburn University",1988
"64","CLE","Winston Bennett","University of Kentucky",1988
"65","SEA","Corey Gaines","Loyola Marymount University",1988
"66","DEN","Dwight Boyd","University of Memphis",1988
"67","UTA","Ricky Grace","University of Oklahoma",1988
"68","ATL","Darryl Middleton","Baylor University",1988
"69","NYK","Phil Stinnie","Virginia Commonwealth University",1988
"70","DAL","Jerry Johnson","Florida Southern College",1988
"71","POR","Craig Neal","Georgia Institute of Technology",1988
"72","DET","Lee Johnson","Norfolk State University",1988
"73","IND","Michael Anderson","Drexel University",1988
"74","BOS","Gerald Paddio","University of Nevada, Las Vegas",1988
"75","SAS","Archie Marshall","University of Kansas",1988
"1","SAC","Pervis Ellison","University of Louisville",1989
"2","LAC","Danny Ferry","Duke University",1989
"3","SAS","Sean Elliott","University of Arizona",1989
"4","MIA","Glen Rice","University of Michigan",1989
"5","CHH","J.R. Reid","University of North Carolina",1989
"6","CHI","Stacey King","University of Oklahoma",1989
"7","IND","George McCloud","Florida State University",1989
"8","DAL","Randy White","Louisiana Tech University",1989
"9","WSB","Tom Hammonds","Georgia Institute of Technology",1989
"10","MIN","Pooh Richardson","University of California, Los Angeles",1989
"11","ORL","Nick Anderson","University of Illinois at Urbana-Champaign",1989
"12","NJN","Mookie Blaylock","University of Oklahoma",1989
"13","BOS","Michael Smith","Brigham Young University",1989
"14","GSW","Tim Hardaway","University of Texas at El Paso",1989
"15","DEN","Todd Lichti","Stanford University",1989
"16","SEA","Dana Barros","Boston College",1989
"17","SEA","Shawn Kemp","Trinity Valley Community College",1989
"18","CHI","B.J. Armstrong","University of Iowa",1989
"19","PHI","Kenny Payne","University of Louisville",1989
"20","CHI","Jeff Sanders","Georgia Southern University",1989
"21","UTA","Blue Edwards","East Carolina University",1989
"22","POR","Byron Irvin","University of Missouri",1989
"23","ATL","Roy Marble","University of Iowa",1989
"24","PHO","Anthony Cook","University of Arizona",1989
"25","CLE","John Morton","Seton Hall University",1989
"26","LAL","Vlade Divac","",1989
"27","DET","Kenny Battle","University of Illinois at Urbana-Champaign",1989
"28","MIA","Sherman Douglas","Syracuse University",1989
"29","CHH","Dyron Nix","University of Tennessee",1989
"30","MIL","Frank Kornet","Vanderbilt University",1989
"31","LAC","Jeff Martin","Murray State University",1989
"32","NJN","Stanley Brundy","DePaul University",1989
"33","LAC","Jay Edwards","Indiana University",1989
"34","MIN","Gary Leonard","University of Missouri",1989
"35","DAL","Pat Durham","Colorado State University",1989
"36","POR","Clifford Robinson","University of Connecticut",1989
"37","ORL","Michael Ansley","University of Alabama",1989
"38","MIN","Doug West","Villanova University",1989
"39","WSB","Ed Horton","University of Iowa",1989
"40","BOS","Dino Radja","",1989
"41","WSB","Doug Roth","University of Tennessee",1989
"42","DEN","Michael Cutright","McNeese State University",1989
"43","CLE","Chucky Brown","North Carolina State University",1989
"44","PHI","Reggie Cross","University of Hawaii",1989
"45","MIA","Scott Haffner","University of Evansville",1989
"46","PHO","Ricky Blanton","Louisiana State University",1989
"47","DEN","Reggie Turner","University of Alabama at Birmingham",1989
"48","UTA","Junie Lewis","University of South Alabama",1989
"49","ATL","Haywoode Workman","Oral Roberts University",1989
"50","NYK","Brian Quinnett","Washington State University",1989
"51","PHO","Mike Morrison","Loyola College in Maryland",1989
"52","PHO","Greg Grant","Trenton State University",1989
"53","DAL","Jeff Hodge","University of South Alabama",1989
"54","PHI","Toney Mack","University of Georgia",1989
"1","NJN","Derrick Coleman","Syracuse University",1990
"2","SEA","Gary Payton","Oregon State University",1990
"3","DEN","Mahmoud Abdul-Rauf","Louisiana State University",1990
"4","ORL","Dennis Scott","Georgia Institute of Technology",1990
"5","CHH","Kendall Gill","University of Illinois at Urbana-Champaign",1990
"6","MIN","Felton Spencer","University of Louisville",1990
"7","SAC","Lionel Simmons","La Salle University",1990
"8","LAC","Bo Kimble","Loyola Marymount University",1990
"9","MIA","Willie Burton","University of Minnesota",1990
"10","ATL","Rumeal Robinson","University of Michigan",1990
"11","GSW","Tyrone Hill","Xavier University",1990
"12","HOU","Alec Kessler","University of Georgia",1990
"13","LAC","Loy Vaught","University of Michigan",1990
"14","SAC","Travis Mays","University of Texas at Austin",1990
"15","MIA","Dave Jamerson","Ohio University",1990
"16","MIL","Terry Mills","University of Michigan",1990
"17","NYK","Jerrod Mustaf","University of Maryland",1990
"18","SAC","Duane Causwell","Temple University",1990
"19","BOS","Dee Brown","Jacksonville University",1990
"20","MIN","Gerald Glass","University of Mississippi",1990
"21","PHO","Jayson Williams","St. John's University",1990
"22","NJN","Tate George","University of Connecticut",1990
"23","SAC","Anthony Bonner","Saint Louis University",1990
"24","SAS","Dwayne Schintzius","University of Florida",1990
"25","POR","Alaa Abdelnaby","Duke University",1990
"26","DET","Lance Blanks","University of Texas at Austin",1990
"27","LAL","Elden Campbell","Clemson University",1990
"28","GSW","Les Jepsen","University of Iowa",1990
"29","CHI","Toni Kukoc","",1990
"30","MIA","Carl Herrera","University of Houston",1990
"31","PHO","Negele Knight","University of Dayton",1990
"32","PHI","Brian Oliver","Georgia Institute of Technology",1990
"33","UTA","Walter Palmer","Dartmouth College",1990
"34","GSW","Kevin Pritchard","University of Kansas",1990
"35","WSB","Greg Foster","University of Texas at El Paso",1990
"36","ATL","Trevor Wilson","University of California, Los Angeles",1990
"37","WSB","A.J. English","Virginia Union University",1990
"38","SEA","Jud Buechler","University of Arizona",1990
"39","CHH","Steve Scheffler","Purdue University",1990
"40","SAC","Bimbo Coles","Virginia Polytechnic Institute and State University",1990
"41","ATL","Steve Bardo","University of Illinois at Urbana-Champaign",1990
"42","DEN","Marcus Liberty","University of Illinois at Urbana-Champaign",1990
"43","SAS","Tony Massenburg","University of Maryland",1990
"44","MIL","Steve Henson","Kansas State University",1990
"45","IND","Antonio Davis","University of Texas at El Paso",1990
"46","IND","Kenny Williams","Elizabeth City State University",1990
"47","PHI","Derek Strong","Xavier University",1990
"48","PHO","Cedric Ceballos","California State University, Fullerton",1990
"49","DAL","Phil Henderson","Duke University",1990
"50","PHO","Milos Babic","Tennessee Technological University",1990
"51","LAL","Tony Smith","Marquette University",1990
"52","CLE","Stefano Rusconi","",1990
"53","SEA","Abdul Shamsid-Deen","Providence College",1990
"54","SAS","Sean Higgins","University of Michigan",1990
"1","CHH","Larry Johnson","University of Nevada, Las Vegas",1991
"2","NJN","Kenny Anderson","Georgia Institute of Technology",1991
"3","SAC","Billy Owens","Syracuse University",1991
"4","DEN","Dikembe Mutombo","Georgetown University",1991
"5","MIA","Steve Smith","Michigan State University",1991
"6","DAL","Doug Smith","University of Missouri",1991
"7","MIN","Luc Longley","University of New Mexico",1991
"8","DEN","Mark Macon","Temple University",1991
"9","ATL","Stacey Augmon","University of Nevada, Las Vegas",1991
"10","ORL","Bison Dele","University of Arizona",1991
"11","CLE","Terrell Brandon","University of Oregon",1991
"12","NYK","Greg Anthony","University of Nevada, Las Vegas",1991
"13","IND","Dale Davis","Clemson University",1991
"14","SEA","Rich King","University of Nebraska",1991
"15","ATL","Anthony Avent","Seton Hall University",1991
"16","GSW","Chris Gatling","Old Dominion University",1991
"17","GSW","Victor Alexander","Iowa State University",1991
"18","MIL","Kevin Brooks","University of Louisiana at Lafayette",1991
"19","WSB","LaBradford Smith","University of Louisville",1991
"20","HOU","John Turner","Phillips University",1991
"21","UTA","Eric Murdock","Providence College",1991
"22","LAC","LeRon Ellis","Syracuse University",1991
"23","ORL","Stanley Roberts","Louisiana State University",1991
"24","BOS","Rick Fox","University of North Carolina",1991
"25","GSW","Shaun Vandiver","University of Colorado",1991
"26","CHI","Mark Randall","University of Kansas",1991
"27","SAC","Pete Chilcutt","University of North Carolina",1991
"28","CHH","Kevin Lynch","University of Minnesota",1991
"29","MIA","George Ackles","University of Nevada, Las Vegas",1991
"30","ATL","Rodney Monroe","North Carolina State University",1991
"31","SAC","Randy Brown","New Mexico State University",1991
"32","PHO","Chad Gallagher","Creighton University",1991
"33","DAL","Donald Hodge","Temple University",1991
"34","MIN","Myron Brown","Slippery Rock University of Pennsylvania",1991
"35","DAL","Mike Iuzzolino","Saint Francis University",1991
"36","ORL","Chris Corchiani","North Carolina State University",1991
"37","LAC","Elliot Perry","University of Memphis",1991
"38","LAC","Joe Wylie","University of Miami",1991
"39","CLE","Jimmy Oliver","Purdue University",1991
"40","DET","Doug Overton","La Salle University",1991
"41","IND","Sean Green","Iona College",1991
"42","SAC","Steve Hood","James Madison University",1991
"43","GSW","Lamont Strothers","Christopher Newport University",1991
"44","PHI","Alvaro Teheran","University of Houston",1991
"45","MIL","Bobby Phills","Southern University and A&M College",1991
"46","PHO","Richard Dumas","Oklahoma State University",1991
"47","HOU","Keith Hughes","Rutgers University",1991
"48","UTA","Isaac Austin","Arizona State University",1991
"49","SAS","Greg Sutton","Oral Roberts University",1991
"50","PHO","Joey Wright","University of Texas at Austin",1991
"51","HOU","Zan Tabak","",1991
"52","LAL","Anthony Jones","Oral Roberts University",1991
"53","NJN","Von McDade","University of Wisconsin-Milwaukee",1991
"54","POR","Marcus Kennedy","Eastern Michigan University",1991
"1","ORL","Shaquille O'Neal","Louisiana State University",1992
"2","CHH","Alonzo Mourning","Georgetown University",1992
"3","MIN","Christian Laettner","Duke University",1992
"4","DAL","Jim Jackson","Ohio State University",1992
"5","DEN","LaPhonso Ellis","University of Notre Dame",1992
"6","WSB","Tom Gugliotta","North Carolina State University",1992
"7","SAC","Walt Williams","University of Maryland",1992
"8","MIL","Todd Day","University of Arkansas",1992
"9","PHI","Clarence Weatherspoon","University of Southern Mississippi",1992
"10","ATL","Adam Keefe","Stanford University",1992
"11","HOU","Robert Horry","University of Alabama",1992
"12","MIA","Harold Miner","University of Southern California",1992
"13","DEN","Bryant Stith","University of Virginia",1992
"14","IND","Malik Sealy","St. John's University",1992
"15","LAL","Anthony Peeler","University of Missouri",1992
"16","LAC","Randy Woods","La Salle University",1992
"17","SEA","Doug Christie","Pepperdine University",1992
"18","SAS","Tracy Murray","University of California, Los Angeles",1992
"19","DET","Don MacLean","University of California, Los Angeles",1992
"20","NYK","Hubert Davis","University of North Carolina",1992
"21","BOS","Jon Barry","Georgia Institute of Technology",1992
"22","PHO","Oliver Miller","University of Arkansas",1992
"23","MIL","Lee Mayberry","University of Arkansas",1992
"24","GSW","Latrell Sprewell","University of Alabama",1992
"25","LAC","Elmore Spencer","University of Nevada, Las Vegas",1992
"26","POR","Dave Johnson","Syracuse University",1992
"27","CHI","Byron Houston","Oklahoma State University",1992
"28","MIN","Marlon Maxey","University of Texas at El Paso",1992
"29","NJN","P.J. Brown","Louisiana Tech University",1992
"30","DAL","Sean Rooks","University of Arizona",1992
"31","POR","Reggie Smith","Texas Christian University",1992
"32","WSB","Brent Price","University of Oklahoma",1992
"33","CHI","Corey Williams","Oklahoma State University",1992
"34","MIN","Chris Smith","University of Connecticut",1992
"35","CHH","Tony Bennett","University of Wisconsin-Green Bay",1992
"36","LAL","Duane Cooper","University of Southern California",1992
"37","MIA","Isaiah Morris","University of Arkansas",1992
"38","ATL","Elmer Bennett","University of Notre Dame",1992
"39","CHI","Litterial Green","University of Georgia",1992
"40","NJN","Steve Rogers","Alabama State University",1992
"41","HOU","Popeye Jones","Murray State University",1992
"42","MIA","Matt Geiger","Georgia Institute of Technology",1992
"43","GSW","Sasha Danilovic","",1992
"44","SAS","Henry Williams","University of North Carolina at Charlotte",1992
"45","SEA","Chris King","Wake Forest University",1992
"46","DEN","Robert Werdann","St. John's University",1992
"47","BOS","Darren Morningstar","University of Pittsburgh",1992
"48","PHO","Brian Davis","Duke University",1992
"49","PHO","Ron Ellis","Louisiana Tech University",1992
"50","GSW","Matt Fish","University of North Carolina at Wilmington",1992
"51","MIN","Tim Burroughs","Jacksonville University",1992
"52","CHI","Matt Steigenga","Michigan State University",1992
"53","HOU","Curtis Blair","University of Richmond",1992
"54","SAC","Brett Roberts","Morehead State University",1992
"1","ORL","Chris Webber","University of Michigan",1993
"2","PHI","Shawn Bradley","Brigham Young University",1993
"3","GSW","Anfernee Hardaway","University of Memphis",1993
"4","DAL","Jamal Mashburn","University of Kentucky",1993
"5","MIN","Isaiah Rider","University of Nevada, Las Vegas",1993
"6","WSB","Calbert Cheaney","Indiana University",1993
"7","SAC","Bobby Hurley","Duke University",1993
"8","MIL","Vin Baker","University of Hartford",1993
"9","DEN","Rodney Rogers","Wake Forest University",1993
"10","DET","Lindsey Hunter","Jackson State University",1993
"11","DET","Allan Houston","University of Tennessee",1993
"12","LAL","George Lynch","University of North Carolina",1993
"13","LAC","Terry Dehere","Seton Hall University",1993
"14","IND","Scott Haskin","Oregon State University",1993
"15","ATL","Doug Edwards","Florida State University",1993
"16","NJN","Rex Walters","University of Kansas",1993
"17","CHH","Greg Graham","Indiana University",1993
"18","UTA","Luther Wright","Seton Hall University",1993
"19","BOS","Acie Earl","University of Iowa",1993
"20","CHH","Scott Burrell","University of Connecticut",1993
"21","POR","James Robinson","University of Alabama",1993
"22","CLE","Chris Mills","University of Arizona",1993
"23","SEA","Ervin Johnson","University of New Orleans",1993
"24","HOU","Sam Cassell","Florida State University",1993
"25","CHI","Corie Blount","University of Cincinnati",1993
"26","ORL","Geert Hammink","Louisiana State University",1993
"27","PHO","Malcolm Mackey","Georgia Institute of Technology",1993
"28","DAL","Lucious Harris","California State University, Long Beach",1993
"29","MIN","Sherron Mills","Virginia Commonwealth University",1993
"30","WSB","Gheorghe Muresan","",1993
"31","SAC","Evers Burns","University of Maryland",1993
"32","PHI","Alphonso Ford","Mississippi Valley State University",1993
"33","DAL","Eric Riley","University of Michigan",1993
"34","GSW","Darnell Mee","Western Kentucky University",1993
"35","MIA","Ed Stokes","University of Arizona",1993
"36","NJN","John Best","Tennessee Technological University",1993
"37","LAL","Nick Van Exel","University of Cincinnati",1993
"38","WSB","Conrad McRae","Syracuse University",1993
"39","IND","Thomas Hill","Duke University",1993
"40","ATL","Rich Manning","University of Washington",1993
"41","CHI","Anthony Reed","Tulane University",1993
"42","SEA","Adonis Jordan","University of Kansas",1993
"43","DEN","Josh Grant","University of Utah",1993
"44","SAC","Alex Holcombe","Baylor University",1993
"45","UTA","Bryon Russell","California State University, Long Beach",1993
"46","HOU","Richard Petruska","University of California, Los Angeles",1993
"47","SAS","Chris Whitney","Clemson University",1993
"48","POR","Kevin Thompson","North Carolina State University",1993
"49","PHO","Mark Buford","Mississippi Valley State University",1993
"50","HOU","Marcelo Nicola","",1993
"51","IND","Spencer Dunkley","University of Delaware",1993
"52","SAC","Mike Peplowski","Michigan State University",1993
"53","LAC","Leonard White","Southern University and A&M College",1993
"54","PHO","Byron Wilson","University of Utah",1993
"1","MIL","Glenn Robinson","Purdue University",1994
"2","DAL","Jason Kidd","University of California",1994
"3","DET","Grant Hill","Duke University",1994
"4","MIN","Donyell Marshall","University of Connecticut",1994
"5","WSB","Juwan Howard","University of Michigan",1994
"6","PHI","Sharone Wright","Clemson University",1994
"7","LAC","Lamond Murray","University of California",1994
"8","SAC","Brian Grant","Xavier University",1994
"9","BOS","Eric Montross","University of North Carolina",1994
"10","LAL","Eddie Jones","Temple University",1994
"11","SEA","Carlos Rogers","Tennessee State University",1994
"12","MIA","Khalid Reeves","University of Arizona",1994
"13","DEN","Jalen Rose","University of Michigan",1994
"14","NJN","Yinka Dare","George Washington University",1994
"15","IND","Eric Piatkowski","University of Nebraska",1994
"16","GSW","Clifford Rozier","University of Louisville",1994
"17","POR","Aaron McKie","Temple University",1994
"18","MIL","Eric Mobley","University of Pittsburgh",1994
"19","DAL","Tony Dumas","University of Missouri-Kansas City",1994
"20","PHI","B.J. Tyler","University of Texas at Austin",1994
"21","CHI","Dickey Simpkins","Providence College",1994
"22","SAS","Bill Curley","Boston College",1994
"23","PHO","Wesley Person","Auburn University",1994
"24","NYK","Monty Williams","University of Notre Dame",1994
"25","LAC","Greg Minor","University of Louisville",1994
"26","NYK","Charlie Ward","Florida State University",1994
"27","ORL","Brooks Thompson","Oklahoma State University",1994
"28","DAL","Deon Thomas","University of Illinois at Urbana-Champaign",1994
"29","PHO","Antonio Lang","Duke University",1994
"30","MIN","Howard Eisley","Boston College",1994
"31","ORL","Rodney Dent","University of Kentucky",1994
"32","WSB","Jim McIlvaine","Marquette University",1994
"33","PHI","Derrick Alston","Duquesne University",1994
"34","ATL","Gaylon Nickerson","Northwestern Oklahoma State University",1994
"35","SAC","Michael Smith","Providence College",1994
"36","BOS","Andrei Fetisov","",1994
"37","SEA","Dontonio Wingfield","University of Cincinnati",1994
"38","CHH","Darrin Hancock","University of Kansas",1994
"39","GSW","Anthony Miller","Michigan State University",1994
"40","MIA","Jeff Webster","University of Oklahoma",1994
"41","IND","William Njoku","",1994
"42","CLE","Gary Collier","University of Tulsa",1994
"43","POR","Shawnelle Scott","St. John's University",1994
"44","IND","Damon Bailey","Indiana University",1994
"45","GSW","Dwayne Morton","University of Louisville",1994
"46","MIL","Voshon Lenard","University of Minnesota",1994
"47","UTA","Jamie Watson","University of South Carolina",1994
"48","DET","Jevon Crudup","University of Missouri",1994
"49","CHI","Kris Bruton","Benedict College",1994
"50","PHO","Charles Claxton","University of Georgia",1994
"51","SAC","Lawrence Funderburke","Ohio State University",1994
"52","PHO","Anthony Goldwire","University of Houston",1994
"53","HOU","Albert Burditt","University of Texas at Austin",1994
"54","SEA","Zeljko Rebraca","",1994
"1","GSW","Joe Smith","University of Maryland",1995
"2","LAC","Antonio McDyess","University of Alabama",1995
"3","PHI","Jerry Stackhouse","University of North Carolina",1995
"4","WSB","Rasheed Wallace","University of North Carolina",1995
"5","MIN","Kevin Garnett","",1995
"6","VAN","Bryant Reeves","Oklahoma State University",1995
